Accident_Index,Long,Lat,Accident_Severity,Severity_ctx,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Day_ctx,Time,Speed_limit,Light_Conditions,Light_ctx,Weather_Conditions,Road_Surface_Conditions
201501EO40193,-0.09704,51.53622,1,Slight,2,2,14/02/2015,7,Saturday,00:12:00,30,7,Dark - lighting unknown,9,1
201501CP00140,-0.074315,51.514357,1,Slight,1,1,09/05/2015,7,Saturday,01:05:00,30,7,Dark - lighting unknown,9,1
201501MM70371,-0.088228,51.502175,1,Slight,2,1,25/04/2015,7,Saturday,05:55:00,30,7,Dark - lighting unknown,1,1
201501MM70580,-0.093923,51.476189,1,Slight,2,1,04/07/2015,7,Saturday,02:50:00,30,7,Dark - lighting unknown,1,1
201501GD10001,-0.080158,51.533067,2,Serious,1,2,09/01/2015,6,Friday,21:40:00,30,7,Dark - lighting unknown,9,1
201501EO40899,-0.122379,51.533661,2,Serious,2,2,13/11/2015,6,Friday,23:00:00,20,7,Dark - lighting unknown,1,1
201501LX50051,-0.114546,51.499903,2,Serious,1,1,09/01/2015,6,Friday,19:10:00,30,7,Dark - lighting unknown,1,1
201501MM70048,-0.094235,51.479071,1,Slight,1,2,16/01/2015,6,Friday,15:49:00,30,7,Dark - lighting unknown,1,1
201501EO40469,-0.089639,51.527017,1,Slight,1,1,03/07/2015,6,Friday,21:54:00,20,7,Dark - lighting unknown,1,1
201501EO40829,-0.10811,51.52309,1,Slight,2,1,20/11/2015,6,Friday,20:50:00,20,7,Dark - lighting unknown,1,1
201501EO40472,-0.110304,51.525823,1,Slight,1,1,03/07/2015,6,Friday,01:20:00,30,7,Dark - lighting unknown,1,1
201501LX50638,-0.110567,51.481134,1,Slight,2,1,19/06/2015,6,Friday,20:25:00,30,7,Dark - lighting unknown,1,1
201501EO49164,-0.111546,51.534116,1,Slight,2,1,12/06/2015,6,Friday,20:30:00,30,7,Dark - lighting unknown,2,2
201501LX50659,-0.130638,51.47633,1,Slight,2,1,26/06/2015,6,Friday,20:48:00,30,7,Dark - lighting unknown,1,1
201501EK40550,-0.138293,51.525281,1,Slight,2,1,26/06/2015,6,Friday,20:30:00,30,7,Dark - lighting unknown,1,1
201501GD10070,-0.079686,51.523707,2,Serious,2,1,08/01/2015,5,Thursday,23:10:00,30,7,Dark - lighting unknown,1,1
201501EO40918,-0.098833,51.53472,2,Serious,2,1,10/12/2015,5,Thursday,22:10:00,30,7,Dark - lighting unknown,2,2
201501MM70125,-0.085008,51.489622,1,Slight,1,1,08/01/2015,5,Thursday,07:35:00,30,7,Dark - lighting unknown,1,1
201501EO40318,-0.090608,51.524515,1,Slight,2,1,30/04/2015,5,Thursday,19:05:00,30,7,Dark - lighting unknown,1,1
201501EK40233,-0.138604,51.538865,1,Slight,1,1,26/02/2015,5,Thursday,19:45:00,30,7,Dark - lighting unknown,1,1
201501QK50910,-0.19414,51.538384,1,Slight,2,1,17/09/2015,5,Thursday,23:13:00,30,7,Dark - lighting unknown,1,1
201501BS70710,-0.19559,51.494433,1,Slight,2,1,26/11/2015,5,Thursday,19:44:00,30,7,Dark - lighting unknown,1,1
201501EO49008,-0.098314,51.529856,1,Slight,2,1,02/12/2015,4,Wednesday,21:50:00,20,7,Dark - lighting unknown,1,1
201501EO40561,-0.099703,51.538061,1,Slight,2,1,01/07/2015,4,Wednesday,22:37:00,30,7,Dark - lighting unknown,1,1
201501EO40468,-0.102341,51.530101,1,Slight,2,1,03/06/2015,4,Wednesday,21:40:00,30,7,Dark - lighting unknown,9,1
201501LX50011,-0.119292,51.475609,1,Slight,1,1,14/01/2015,4,Wednesday,07:56:00,30,7,Dark - lighting unknown,1,1
201501LX50456,-0.12403,51.486476,1,Slight,2,1,06/05/2015,4,Wednesday,22:59:00,30,7,Dark - lighting unknown,1,1
201501CW11662,-0.140631,51.513898,1,Slight,1,1,28/10/2015,4,Wednesday,19:00:00,30,7,Dark - lighting unknown,1,1
201501CW11632,-0.182679,51.536499,1,Slight,1,1,28/10/2015,4,Wednesday,20:01:00,30,7,Dark - lighting unknown,9,1
201501TD00109,-0.18374,51.517091,3,Fatal,2,1,18/08/2015,3,Tuesday,00:06:00,30,7,Dark - lighting unknown,9,1
201501EK40462,-0.116278,51.520793,2,Serious,2,1,05/05/2015,3,Tuesday,20:15:00,30,7,Dark - lighting unknown,1,1
201501EO40143,-0.089835,51.536103,1,Slight,2,1,10/02/2015,3,Tuesday,19:43:00,30,7,Dark - lighting unknown,1,1
201501MM70244,-0.105604,51.479256,1,Slight,2,1,24/03/2015,3,Tuesday,18:40:00,30,7,Dark - lighting unknown,1,1
201501EO40246,-0.115556,51.531303,1,Slight,2,1,07/04/2015,3,Tuesday,20:15:00,30,7,Dark - lighting unknown,1,1
201501EO49057,-0.122645,51.530697,1,Slight,1,1,22/12/2015,3,Tuesday,18:45:00,30,7,Dark - lighting unknown,9,1
201501CW11972,-0.159034,51.5007,1,Slight,2,1,14/12/2015,2,Monday,21:30:00,30,7,Dark - lighting unknown,9,1
201501CW11495,-0.155962,51.516118,2,Serious,1,2,04/10/2015,1,Sunday,20:00:00,30,7,Dark - lighting unknown,9,1
201501EK41033,-0.138714,51.536169,2,Serious,2,1,01/11/2015,1,Sunday,01:00:00,30,7,Dark - lighting unknown,9,1
201501EO40115,-0.085942,51.539546,1,Slight,2,2,01/02/2015,1,Sunday,00:07:00,30,7,Dark - lighting unknown,9,1
201501EO49100,-0.095315,51.529178,1,Slight,2,1,27/12/2015,1,Sunday,18:55:00,30,7,Dark - lighting unknown,9,1
201501EO40961,-0.106275,51.522161,1,Slight,2,1,20/12/2015,1,Sunday,07:50:00,20,7,Dark - lighting unknown,1,1
201501QK50327,-0.196508,51.540489,1,Slight,2,1,10/05/2015,1,Sunday,23:22:00,30,7,Dark - lighting unknown,1,1
201501BS70701,-0.17069,51.486674,1,Slight,2,1,21/11/2015,7,Saturday,22:00:00,30,6,Dark - no lighting,1,1
201501EO40134,-0.101891,51.537467,1,Slight,2,1,17/02/2015,3,Tuesday,20:38:00,30,6,Dark - no lighting,1,1
201501CW11869,-0.154759,51.495956,1,Slight,1,1,08/12/2015,3,Tuesday,23:50:00,30,6,Dark - no lighting,1,1
201501EO40816,-0.092471,51.538574,1,Slight,2,1,21/11/2015,7,Saturday,18:28:00,20,5,Dark - lights unlit,1,2
201501EK40027,-0.125999,51.526255,1,Slight,2,1,16/01/2015,6,Friday,07:57:00,30,5,Dark - lights unlit,8,1
2.02E+12,-0.104266,51.511517,1,Slight,1,1,19/11/2015,5,Thursday,19:17:00,20,5,Dark - lights unlit,1,1
201501EK40999,-0.139979,51.540505,1,Slight,2,2,11/11/2015,4,Wednesday,03:07:00,30,5,Dark - lights unlit,1,1
201501CW11585,-0.162094,51.52134,1,Slight,2,1,21/10/2015,4,Wednesday,04:53:00,30,5,Dark - lights unlit,2,2
201501BS70729,-0.150127,51.485812,1,Slight,2,1,06/12/2015,1,Sunday,19:20:00,30,5,Dark - lights unlit,2,2
201501TD00026,-0.094474,51.487169,3,Fatal,1,1,31/01/2015,7,Saturday,06:48:00,30,4,Dark - Lights Lit,8,4
201501EO40815,-0.11101,51.536625,2,Serious,2,2,14/11/2015,7,Saturday,03:32:00,20,4,Dark - Lights Lit,1,2
201501CW11634,-0.129271,51.513268,2,Serious,1,2,31/10/2015,7,Saturday,20:05:00,30,4,Dark - Lights Lit,1,1
